IdAutor,IdDocumento,NomeAutor,AnoLegislativo,CodOriginalidade,DtEntradaSistema,DtPublicacao,Ementa,IdNatureza,NroLegislativo
13040,1247532,Constancia Felix,2015,1247532 260215 1625,2015-02-26T00:00:00-03:00,2015-02-28T00:00:00-03:00,"Obriga os edifícios públicos e privados a fixarem avisos em adesivos ou em forma de placas, nas dependências sanitárias, com a inscrição ""A prevenção de doenças é dever de todos - Lave as mãos"".",1,43
13040,1247536,Constancia Felix,2015,1247536 260215 1636,2015-02-26T00:00:00-03:00,2015-02-28T00:00:00-03:00,Obriga os novos condomínios residenciais a passarem todo o cabeamento de forma subterrânea.,1,44
442,1247943,Afonso Lobato,2015,1247943 020315 1614,2015-03-02T00:00:00-03:00,2015-04-24T00:00:00-03:00,"Declara de utilidade pública a ""Associação de Amigos Nova Vale"", em Lagoinha.",1,520
10592,1248745,Carlos Giannazi,2015,1248745 060315 1159,2015-03-06T00:00:00-03:00,2015-03-21T00:00:00-03:00,Autoriza o Poder Executivo a criar Programa de Incentivo às Semanas Culturais do Orgulho LGBT e de Inclusão Social da Diversidade nos municípios do Estado.,1,190
12380,1249057,Itamar Borges,2015,1249057 060315 1817,2015-03-06T00:00:00-03:00,2015-03-21T00:00:00-03:00,"Torna obrigatório que instalações públicas ou privadas, residenciais, comerciais, prestadoras de serviço ou industriais apresentem um plano de uso da água.",1,225
94,1249067,Campos Machado,2015,1249067 060315 1853,2015-03-06T00:00:00-03:00,2015-03-24T00:00:00-03:00,Classifica como Estância Turística o Município de Taquaritinga.,1,249
12380,1249076,Itamar Borges,2015,1249076 090315 1051,2015-03-09T00:00:00-03:00,2015-03-18T00:00:00-03:00,"Dá a denominação de ""Horácio Neves de Azevedo"" ao dispositivo de acesso e retorno SPD 442/322, localizado no km 442+390 da Rodovia SP 322 - Armando Salles de Oliveira, em Olímpia.",1,123
12380,1249076,Itamar Borges,2015,1249076 090315 1051,2015-03-09T00:00:00-03:00,2015-03-18T00:00:00-03:00,"Dá a denominação de ""Horácio Neves de Azevedo"" ao dispositivo de acesso e retorno SPD 442/322, localizado no km 442+390 da Rodovia SP 322 - Armando Salles de Oliveira, em Olímpia.",1,123
10592,1249128,Carlos Giannazi,2015,1249128 090315 1124,2015-03-09T00:00:00-03:00,2015-03-21T00:00:00-03:00,Assegura o direito às unidades familiares homoafetivas nos programas de habitação popular desenvolvidos pelo Estado.,1,189
10592,1249129,Carlos Giannazi,2015,1249129 090315 1127,2015-03-09T00:00:00-03:00,2015-03-21T00:00:00-03:00,"Autoriza o Poder Executivo a desapropriar e declarar como de especial interesse social, para fins de reurbanização e regularização de moradias, o terreno localizado à Rua Agenor Klauser, s/n, na Capital.",1,188
10592,1249130,Carlos Giannazi,2015,1249130 090315 1132,2015-03-09T00:00:00-03:00,2015-03-21T00:00:00-03:00,Autoriza o Poder Executivo a conceder isenção do Imposto sobre a Circulação de Mercadorias e Serviços (ICMS) e do Imposto sobre a Propriedade de Veículos Automotores (IPVA) para veículos elétricos e híbridos.,1,186
